,LLC-stores,instructions,bytes,blocks,LLC-loads,LLC-load-misses,ref-cycles,cycles,LLC-store-misses,pkg_pwr,ram_pwr,power
773,28372,119536508,167936,328,875449,334731,196143545,134493214,6793,43.19,7.5,136.6
774,45933,269535848,0,0,1170980,448305,301332320,203691444,7551,43.2,7.52,136.6
775,41460,129015329,0,0,886730,349118,168997290,145524317,7599,43.1,7.51,136.7
776,59837,213100946,0,0,1287183,369160,260403941,209956782,15325,43.18,7.56,136.7
777,25051,146119309,0,0,881092,307144,195410309,148027280,8203,43.32,7.56,136.7
778,72913,279144884,196608,384,1268893,379598,328653588,314894022,14561,42.96,7.49,136.7
779,46761,147483701,0,0,957509,396881,209317761,173647102,4671,43.16,7.48,136.6
780,62160,353429858,57344,112,1587151,571319,336517625,256755840,20911,42.91,7.48,136.7
781,76334,277637267,0,0,1553341,533675,314419741,230189283,15351,43.14,7.49,136.7
782,34270,133419221,0,0,939042,339337,199424263,150531964,6618,43.25,7.51,136.7
783,54171,175106651,253952,496,878238,410739,227312322,197668491,8357,43.14,7.46,136.7
784,51664,132224245,0,0,819562,297773,184853649,160665319,9909,43.16,7.55,136.7
785,72209,209369542,0,0,1269026,501479,291863566,234599134,11823,43.13,7.49,136.7
786,49156,178780420,0,0,1008211,431419,241495721,210581196,10931,43.26,7.49,136.7
787,57855,155662130,0,0,812614,321858,205723986,151442701,9925,43.37,7.52,136.7
788,35269,185338008,311296,608,883635,337859,225035227,193367338,10385,43.02,7.46,136.6
789,40008,185696254,0,0,1114925,375357,234459623,214936453,12610,43.27,7.52,136.7
790,98208,359772849,0,0,1765333,665543,394256996,317838687,28066,43.04,7.52,136.7
791,47185,163375559,0,0,999148,343077,244806866,172709629,11035,43.28,7.53,136.7
792,46451,141264203,0,0,770524,341603,206872737,172830480,9476,43.22,7.52,136.7
793,43692,181294491,167936,328,863544,420580,218561710,192498394,12962,43.21,7.5,136.7
794,37534,127846689,0,0,919099,364485,186680428,155065545,5153,43.21,7.47,136.7
795,74110,169921447,0,0,1227045,416107,253180905,198874258,18252,43.01,7.52,136.7
796,64702,293028380,20819968,40664,1305580,458450,331573595,266769538,13813,43.13,7.51,136.7
797,50279,185021862,0,0,1014479,316247,208435630,163868950,9854,43.26,7.57,136.7
798,61380,130851242,454656,888,862842,274457,203975650,146187451,9239,43.02,7.54,136.7
799,48801,227786392,0,0,1202859,294281,264861553,162818437,10538,43.08,7.51,136.7
800,89892,326493560,0,0,1604308,677978,351399764,291920042,21742,43.06,7.53,136.6
801,71351,191246720,0,0,1089665,386410,270121842,239149081,15264,43.17,7.46,136.7
802,43075,138077729,0,0,997146,353122,217180111,156991937,7107,43.18,7.51,136.7
803,52044,158871018,167936,328,792727,310263,224712752,193905878,16930,43.13,7.55,136.7
804,55546,129649273,0,0,932754,355635,192772762,102007661,10641,43.3,7.5,136.7
805,58463,177296986,0,0,1091509,441931,252637223,188553465,9431,43.15,7.5,136.6
806,49914,163789262,0,0,1101819,384938,241802953,139757438,10552,43.21,7.53,136.6
807,38889,119899787,0,0,992604,383768,172787505,145481211,7235,43.14,7.52,136.7
808,48767,161274085,225280,440,993567,309057,195090571,158786060,8362,43.04,7.48,136.7
809,54128,212613577,0,0,1171641,296821,253847203,173898423,17114,43.15,7.48,136.7
810,87396,218518717,0,0,1313617,417974,299021861,255622028,30843,42.91,7.49,136.7
811,43254,210057497,28672,56,1358086,375624,273143003,176196167,7753,43.07,7.51,136.7
812,73703,318392380,0,0,1373656,550833,260525592,257252683,19561,43.1,7.5,136.7
813,33633,172961175,167936,328,990199,329793,223943505,182336172,9288,43.12,7.49,136.7
814,39924,137800215,0,0,816139,404577,186601932,149836909,11372,43.17,7.44,136.7
815,61423,248160914,0,0,1378801,524017,284749820,217054864,25222,42.73,7.49,136.6
816,84499,279631986,253952,496,1577681,411472,332647853,282671620,28430,43.26,7.54,136.6
817,50725,226168326,0,0,933664,398138,253320167,205657005,10099,43.16,7.53,136.6
818,34805,118786531,0,0,835731,323641,177637581,149579476,7168,43.22,7.47,136.7
819,28426,98752273,0,0,908179,352988,148771164,131554911,8141,43.24,7.55,136.7
820,66644,186971499,0,0,1302899,458059,274290827,182214832,23482,42.64,7.45,136.7
821,92739,390159659,6877184,13432,1654648,375183,438353541,391266337,24845,43.08,7.51,136.6
822,69113,192991075,0,0,886453,278291,217974646,133989349,11602,43.25,7.53,136.6
823,19806,120164988,0,0,816017,314238,159186628,137127100,9105,43.27,7.56,136.6
824,73049,175611811,0,0,850885,417049,207641468,171389506,18769,43.11,7.52,136.7
825,75618,173118388,0,0,1015314,395675,242173040,176870851,12956,42.8,7.45,136.6
826,116098,372620243,22142976,43248,1662086,509352,456569221,365141572,33699,43.1,7.48,136.6
827,95067,313493742,0,0,1319319,437741,347373224,279256003,18207,43.2,7.52,136.6
828,43838,133557715,0,0,844507,298977,185047752,157270760,9514,43.15,7.48,136.6
829,62790,239795815,0,0,1288322,510119,238374740,224592709,26663,43.11,7.5,136.6
830,28450,132940768,0,0,808640,370575,180740121,136901711,8616,42.96,7.5,136.6
831,95914,251074449,282624,552,1354094,406631,318702458,267315503,25422,43.16,7.51,136.6
832,72583,239173990,0,0,1101531,453791,262518943,249544758,8563,43.24,7.52,136.6
833,38501,128258871,0,0,783226,284080,184800350,158716032,5977,43.11,7.47,136.6
834,39107,142181523,0,0,683187,288911,171743780,155138931,7936,43.16,7.54,136.6
835,53940,124175039,0,0,822604,250742,178320194,104097608,12647,42.82,7.48,136.6
836,99464,318632558,311296,608,1766674,471620,356736623,317809375,30873,43.17,7.53,136.6
837,43635,154448856,0,0,1272849,488025,266462931,184461627,11260,43.19,7.48,136.6
838,36960,119996913,0,0,850746,300888,169702022,142498757,9661,43.2,7.51,136.6
839,18775,115232334,0,0,740906,344651,178371755,117017299,5874,43.08,7.51,136.6
840,76678,228714782,0,0,1339908,573208,252411023,236290802,20705,42.87,7.43,136.6
841,75481,274624393,167936,328,1591784,450458,343519570,272693604,36918,43.09,7.48,136.6
842,42566,238039523,28672,56,1158557,443405,291809512,220806259,16383,43.28,7.48,136.6
843,40941,125686287,0,0,800600,310139,191662487,155275312,8585,43.16,7.5,136.6
844,71287,170587673,0,0,1038501,330588,236653068,205315382,13228,43.13,7.52,136.6
845,33203,145956253,0,0,859541,383194,183165366,174180391,6098,42.78,7.45,136.6
846,66508,348845853,225280,440,1660403,477567,374133744,302072971,33116,43.13,7.5,136.6
847,26474,109615815,0,0,1042367,284931,179697078,116397205,7862,43.14,7.52,136.6
848,68275,247322358,0,0,1331427,484062,246684935,237201865,30474,43.21,7.52,136.6
849,70898,146202900,0,0,804369,393923,209654582,167724090,10521,43.11,7.52,136.6
850,17438,130676291,0,0,904323,342459,192313666,115106078,7784,42.89,7.52,136.6
851,74432,326912330,167936,328,1511017,457438,348521445,322193157,29659,43.08,7.49,136.6
852,62526,184245515,0,0,827409,322767,224066547,166501849,9626,43.31,7.55,136.6
853,33900,95185040,0,0,741883,308090,164616120,114002437,7886,43.26,7.51,136.6
854,47839,163675069,0,0,927180,279380,206805553,201613435,11324,43.25,7.5,136.6
855,43205,112996970,0,0,719690,275110,183544683,132400222,5268,42.96,7.48,136.6
856,95880,306325530,167936,328,1437632,399994,352018133,295231281,26381,43.01,7.47,136.6
857,64205,284730364,20586496,40208,1148661,362434,322328807,245238274,18930,43.16,7.54,136.6
858,73606,324239155,0,0,1217866,603904,266898757,249406215,21416,43.23,7.47,136.6
859,52836,135418513,0,0,827577,330092,188734820,173753787,4368,43.21,7.52,136.6
860,52153,144455753,0,0,1050396,411487,242065594,172696248,9112,42.91,7.51,136.6
861,56808,247006134,454656,888,1411181,439802,307346233,259002900,19153,43.2,7.55,136.6
862,39722,193832962,0,0,964795,278108,192646381,177488562,9246,43.28,7.57,136.6
863,37922,139866554,0,0,855047,412651,164378066,155461689,4665,43.21,7.45,136.6
864,50558,165641801,0,0,1131221,410432,218740256,189210231,14027,43.24,7.5,136.6
865,52918,132923373,0,0,798519,252425,180517060,170217828,14107,42.93,7.45,136.6
866,83621,290803031,167936,328,1280715,432709,348179618,266550288,18048,43.0,7.51,136.6
867,53670,353625389,0,0,1709743,639064,315840919,244037621,23737,43.22,7.52,136.6
868,27223,82886124,0,0,811576,247266,148254656,109861488,7397,43.27,7.51,136.6
869,46640,147024873,0,0,993673,348403,205854402,175071549,12133,43.21,7.54,136.6
870,41481,105334845,0,0,630926,346339,174562468,119044869,8767,43.0,7.51,136.6
871,63591,308489972,225280,440,1604051,511946,357356894,289302415,14706,43.21,7.5,136.6
872,31891,130191463,57344,112,934364,405263,227533725,152603005,9823,43.03,7.5,136.7
873,58551,148542700,0,0,969337,372360,251981129,172874958,22663,43.2,7.5,136.7
874,57749,250892740,0,0,1074967,442816,261413217,204666520,7542,43.22,7.55,136.7
875,38922,96418857,0,0,820308,265458,174557403,125898352,12949,42.89,7.47,136.6
876,92652,411343910,253952,496,2092699,701412,423324707,322515104,24321,43.21,7.48,136.6
877,48096,196550705,0,0,1054457,450463,227578827,166305855,5394,43.29,7.5,136.6
878,58171,147108418,0,0,909618,364219,200761265,175341301,10013,43.2,7.49,136.6
879,37110,153194345,0,0,834277,280386,185556831,171763514,6472,43.26,7.51,136.6
880,42606,112892948,0,0,581727,362898,178753166,161798377,7341,43.02,7.51,136.6
881,88981,291349691,253952,496,1515512,505866,336030700,281292465,22350,43.2,7.5,136.6
882,71636,140930252,0,0,1009527,392317,261803432,132480872,13200,43.24,7.52,136.6
883,38795,124632595,0,0,821546,288732,178995558,124981834,6728,43.22,7.44,136.6
884,51736,148020602,0,0,791653,321466,186300920,178462266,6139,43.26,7.51,136.6
885,44559,117666434,0,0,753055,292536,172430910,154111000,8950,43.0,7.46,136.6
886,115198,299356979,167936,328,1691606,626922,360072977,292740995,31172,42.98,7.49,136.6
887,93608,280183957,0,0,1337296,472040,284364250,266289630,22794,43.08,7.5,136.6
888,66981,211806182,21303296,41608,1087645,334905,278570316,210722209,9354,43.28,7.52,136.6
889,65430,226604120,0,0,1083539,393348,242124515,188014742,12177,43.29,7.5,136.6
890,53731,128565003,0,0,629049,195254,174411875,126637772,13070,43.2,7.56,136.6
891,140798,259930446,512000,1000,1474805,430181,331773898,249304112,52269,43.05,7.48,136.6
892,49783,201374740,0,0,1118204,290019,254296816,189042386,12225,43.19,7.51,136.6
893,57346,200477043,0,0,920225,275643,211080676,124926058,12819,43.22,7.5,136.6
894,58708,160566301,0,0,911848,383390,224163247,173726874,8871,43.28,7.54,136.6
895,48902,127000139,0,0,772303,289564,174748094,154736576,6629,43.02,7.56,136.6
896,147466,445342090,167936,328,2244014,846010,455558575,385272602,52242,43.14,7.45,136.6
897,57745,242160181,0,0,1210854,467847,259786621,195991732,11827,43.14,7.47,136.6
898,43213,145837591,0,0,735675,293109,192749554,172040079,7558,43.37,7.55,136.6
899,29898,123008520,0,0,826362,397356,182141016,144911438,11521,43.18,7.48,136.7
900,43421,140284157,0,0,910967,328805,200167592,163739897,10761,43.17,7.52,136.7
901,44815,149409564,167936,328,1221941,398531,224886860,113862028,20020,43.07,7.51,136.6
