,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
1441,325,153401910,186874429,1010357,167936,6412,328,167652299,51598,40.24,5.33,128.9
1442,8659,211181990,228134789,1314715,0,53607,0,166604914,47929,40.22,5.24,129.0
1443,1401,144683738,172252513,884682,0,14155,0,155701173,42564,39.95,5.0,129.0
1444,457,160559224,197856614,1017640,0,6770,0,145309530,57661,39.98,5.05,128.9
1445,221,129168509,142902804,668444,19038208,2110,37184,136499731,36422,40.29,5.05,128.9
1446,245,115376343,154639969,766627,282624,4774,552,120310396,47301,40.26,5.33,128.9
1447,230,139550167,200521926,1122206,0,50234,0,136677560,48196,40.13,5.2,129.0
1448,3022,248944967,285393787,1208034,0,64830,0,253280121,96242,40.0,5.03,129.0
1449,108,110516066,140716938,705304,0,3283,0,131603844,27409,39.98,4.94,129.0
1450,79,100684555,150129595,744081,28672,1185,56,78748275,43082,39.93,4.95,129.0
1451,222,165440470,198140654,1013027,282624,3481,552,155169607,58698,40.01,5.36,129.0
1452,5268,197310847,247380040,1272437,0,78059,0,153493443,88280,40.42,5.25,129.1
1453,1709,115427392,150220766,606455,0,18926,0,104293592,44880,40.38,5.03,129.1
1454,401,123645267,191024834,976563,0,9060,0,142961932,59051,40.12,5.01,129.0
1455,163,144077870,185494229,954101,0,1537,0,152454099,41761,40.02,4.96,129.0
1456,293,72102238,139400151,697848,139264,3756,272,81032235,38179,40.19,5.38,129.1
1457,4463,110592403,200362499,1255286,0,70494,0,91766130,26714,40.26,5.17,129.1
1458,1015,105506619,137441319,1191091,0,19597,0,80179413,30777,40.29,5.09,129.0
1459,97,118174156,152018888,803243,0,3200,0,111841874,59793,40.06,5.03,129.0
1460,237,131108913,156081636,618471,0,1263,0,155414827,53306,40.04,4.96,129.0
1461,187,117344307,181532442,919994,167936,2082,328,116896653,40238,40.23,5.45,129.1
1462,5850,211682169,230421927,1233520,0,78352,0,209483720,78090,40.25,5.2,129.1
1463,1521,138944070,170344099,843243,0,10911,0,128403279,35843,40.19,5.04,129.0
1464,501,131968949,183961423,917557,0,4790,0,125514046,77219,40.15,4.97,129.1
1465,293,124321069,165490940,885697,0,1331,0,106069748,44470,40.15,4.95,129.0
1466,220,105266313,143342031,709009,139264,739,272,96411279,42311,40.27,5.35,129.0
1467,5702,207009548,241601003,1316262,0,78047,0,192671521,74807,40.21,5.19,129.0
1468,531,133681130,182183977,874196,0,18188,0,130424486,52799,40.05,5.02,129.1
1469,309,160742572,220190670,959089,0,5685,0,163326884,51256,40.09,4.98,129.0
1470,239,110127204,138140012,835227,0,2540,0,109207076,19892,40.04,4.98,129.0
1471,100,129035324,167042624,830747,167936,5910,328,147876129,44504,40.1,5.26,129.0
1472,3637,221882923,259015294,1481691,0,99712,0,165853806,67894,40.1,5.24,129.0
1473,732,91034463,134255904,816513,0,11613,0,112318079,32835,40.1,5.08,129.0
1474,304,124907988,147923899,789085,0,3507,0,111877845,34174,40.12,4.97,129.0
1475,153,94881240,151812376,721101,18649088,1118,36424,90971593,38357,40.11,5.02,129.0
1476,96,160819300,196807783,939290,1130496,8164,2208,165335282,55287,40.09,5.37,129.1
1477,1327,160412778,208183584,1226737,0,88193,0,99998878,36285,40.23,5.33,129.1
1478,540,142054356,176683058,905245,0,21118,0,129226272,64288,40.26,5.02,129.1
1479,338,141312714,211452521,1054820,0,4586,0,149912216,54284,40.23,4.97,129.0
1480,125,118725122,140304365,775018,0,1712,0,118157097,23636,40.29,4.98,129.0
1481,66,109422346,142742834,809157,311296,1953,608,93254514,24510,40.31,5.25,129.0
1482,1321,237451354,264476165,1453796,0,81566,0,221175758,71086,40.54,5.08,129.1
1483,450,110185070,146457160,921774,0,13693,0,109787907,33275,40.49,5.0,129.0
1484,325,113690976,151099212,888825,0,5373,0,115037268,30565,40.46,4.91,129.0
1485,238,114619252,140900935,741893,0,1012,0,104005182,52515,40.42,4.9,129.0
1486,263,140846148,166506196,786457,139264,1038,272,150208857,39376,40.28,5.27,129.0
1487,5492,211863680,223335334,1057761,0,79936,0,219402796,86074,40.26,5.11,129.0
1488,1061,167859350,209481267,783849,0,21452,0,180328837,66940,40.28,5.01,129.0
1489,61,106195213,155237634,722142,0,3780,0,113880469,36656,40.21,4.93,129.0
1490,75,99003907,144194218,617876,0,1535,0,110242790,45971,40.22,5.11,129.0
1491,117,107529648,154203517,724874,167936,2937,328,110457520,35335,40.02,5.47,129.1
1492,2876,244171826,286346194,1481839,0,136612,0,219176117,88723,39.92,5.15,129.1
1493,637,125663676,155332329,793350,0,13004,0,118888543,31995,40.16,5.19,129.1
1494,393,129768570,174924572,870271,0,4090,0,139317177,56464,40.23,5.02,129.1
1495,248,153767961,187349422,1086244,0,4931,0,148528105,41901,40.16,5.01,129.0
1496,404,108725039,131784195,694619,139264,1115,272,119475620,47673,40.15,5.41,129.1
1497,4752,229373547,241048706,1038839,0,94718,0,213308667,93142,40.09,5.29,129.2
1498,1640,175658484,212423607,1098758,0,19614,0,193661278,75986,40.02,5.06,129.1
1499,190,86914596,143733157,718821,0,4159,0,98852137,35853,40.0,5.02,129.1
1500,283,126375887,135513382,685560,0,3326,0,115517962,48093,40.12,5.1,129.0
1501,1088,144215786,161797539,873973,167936,6210,328,153251683,48921,40.13,5.34,129.1
1502,387,193893442,216868079,1182446,0,93074,0,189326986,87974,40.12,5.25,129.1
1503,298,142191409,169006267,931644,0,16797,0,160119395,36190,40.09,5.04,129.1
1504,308,96526697,146016442,696677,0,5235,0,91661006,50446,40.08,5.05,129.0
1505,800,148798877,186162134,936362,0,2298,0,120981907,59101,40.17,4.99,129.0
1506,213,94589182,113341981,753020,19468288,3052,38024,84162595,34741,40.2,5.4,129.1
1507,6133,203073620,210463825,1089076,0,68317,0,189408794,61943,40.21,5.24,129.1
1508,5114,185858353,242740600,1205902,0,58999,0,158569950,62044,40.18,5.06,129.0
1509,52,69270311,109851160,679455,0,4932,0,50109752,28446,40.16,5.0,128.9
1510,60,95829497,119670065,747385,0,2028,0,97005433,41073,40.19,4.95,128.9
1511,111,143574659,167198191,885989,540672,2001,1056,137637413,30514,40.08,5.3,129.0
1512,5209,192637751,224734841,1277833,0,105993,0,199493057,91023,40.03,5.17,129.0
1513,849,104171768,165858311,993509,0,18867,0,82485164,60015,40.01,5.02,129.0
1514,706,121747062,168697258,983230,0,9784,0,131106208,45604,40.01,5.0,129.0
1515,225,144128781,182970502,925112,0,6589,0,158450030,52928,40.01,4.95,128.9
1516,203,118111673,145995615,820189,225280,1292,440,137110711,43642,40.11,5.38,129.0
1517,3817,182697840,219118614,1093148,0,67110,0,160778354,57477,40.05,5.13,129.0
1518,524,165401030,246432821,1325007,0,36117,0,154748622,46277,39.99,5.16,129.0
1519,54,119526780,145726572,778575,0,2694,0,105213883,38180,39.97,5.05,128.9
1520,129,109708503,153988370,748793,0,1454,0,125286123,47981,40.16,5.12,128.9
