,LLC-store-misses,bytes,LLC-load-misses,cycles,LLC-stores,ref-cycles,instructions,LLC-loads,blocks,pkg_pwr,ram_pwr,power
1067,7400,0,254134,385022232,175121,456546826,307093945,3487638,0,42.77,7.06,135.3
1068,12681,0,234655,287266960,132718,296963410,210990010,2039730,0,42.07,7.8,135.3
1069,17742,110592,179503,323800591,142673,376354454,259453315,2911128,216,41.57,7.72,135.4
1070,22772,0,271853,466314239,229651,481925371,355401131,3405218,0,42.57,7.78,135.5
1071,13620,0,222825,276717969,136933,349735252,231214018,2148502,0,41.56,7.89,135.6
1072,14206,0,123739,360529599,165659,399580265,271779795,3086836,0,43.04,7.76,135.5
1073,16169,0,258880,368081906,162963,385684000,252433899,2728767,0,41.92,8.01,135.8
1074,19777,110592,271729,443754288,175227,481744219,326477066,3773442,216,42.67,7.64,135.7
1075,15751,18051072,330578,463417255,192982,476149236,353559458,3236043,35256,42.01,7.86,135.9
1076,5498,0,318014,263576276,112040,352941647,187033375,2526283,0,41.96,7.31,135.9
1077,6716,0,217744,408221385,184761,428347077,289989730,3288845,0,42.36,7.51,135.8
1078,12602,0,140454,430875349,195022,450764784,311891648,3565888,0,42.21,7.46,135.7
1079,11681,196608,155608,394615305,169544,435296950,291663674,3383915,384,42.37,7.33,135.7
1080,8842,114688,311404,473648963,188417,518479430,380272930,3744260,224,42.77,7.57,135.8
1081,6952,0,281611,378038673,144454,421698853,282221183,3013465,0,42.47,7.48,135.8
1082,8477,0,260471,284807468,115814,340774665,220449054,2354006,0,42.74,7.59,135.9
1083,12148,0,214325,360769300,163648,384980173,261013754,2760019,0,43.2,7.31,135.9
1084,6511,311296,209900,284754361,145273,359795956,243924722,2663284,608,42.71,7.28,136.0
1085,19116,0,406256,499507457,228135,567529061,394699375,4335724,0,43.28,7.44,135.9
1086,11176,0,252946,352587354,152780,373877001,260980166,2613774,0,42.79,7.44,136.0
1087,11528,0,266382,377556712,167136,402506323,269705486,3068012,0,43.22,6.89,136.1
1088,9580,0,255257,407066559,162952,424207028,303968800,3052787,0,42.93,6.76,136.0
1089,4616,110592,252840,340000962,156241,374522778,251721442,2887303,216,42.77,6.91,135.9
1090,10330,0,389194,388617911,155358,439082266,328894568,2970287,0,41.63,7.09,135.8
1091,5646,0,202253,352627042,154174,383947940,258581555,3062672,0,39.95,5.85,135.7
1092,1539,0,177443,318648248,132352,331679904,239520476,2069928,0,39.95,5.85,135.1
1093,2271,0,120347,409591027,186012,439702378,307144766,3190788,0,39.94,5.74,134.5
