,LLC-store-misses,instructions,ref-cycles,LLC-loads,bytes,LLC-load-misses,blocks,cycles,LLC-stores,pkg_pwr,ram_pwr,power
622,12544,149655176,150128285,631703,0,365064,0,220322138,49331,44.01,10.8,143.2
623,22101,287882197,318502651,1763707,167936,570970,328,318466292,75064,44.16,10.88,143.2
624,12826,178411747,203467633,1775419,0,597557,0,176373160,77790,44.37,10.99,143.2
625,10868,120270988,213262908,926416,0,468939,0,164117840,44315,44.35,11.05,143.2
626,10605,139671731,208696582,1636563,0,479861,0,208916720,69562,44.35,11.01,143.1
627,12290,129962947,217071863,1061994,0,558973,0,175047710,69603,44.22,10.97,143.2
628,14181,315937580,228406689,822221,196608,349200,384,357255434,96155,44.35,11.05,143.2
629,10780,150567092,251538689,1754935,0,400944,0,217099059,84481,44.11,10.84,143.2
630,10915,123806660,186066731,1079655,0,516931,0,168957355,47457,44.34,10.94,143.1
631,10234,200598460,225564025,1612067,0,555903,0,221612951,57884,44.22,10.91,143.1
632,13828,155391968,175767041,1078275,0,354731,0,205019445,56212,44.05,10.77,143.2
633,13702,230805999,288979014,1932196,167936,686992,328,214197684,79316,44.42,11.11,143.3
634,11441,123243164,164608907,839334,25735168,623783,50264,196319413,58107,44.41,11.13,143.3
635,14310,125684882,214574775,1176992,0,483838,0,144612661,57015,44.49,11.08,143.3
636,11629,153615600,188282780,951022,0,600357,0,217198846,33478,44.45,11.2,143.2
637,16083,144985349,208271377,858226,0,459669,0,158104983,41985,44.13,10.71,143.2
638,36403,243636110,320410348,1855327,425984,679163,832,316369002,137166,44.26,10.85,143.3
639,13502,187883284,254462013,1458506,0,541735,0,284878046,36220,44.13,10.81,143.3
640,10939,136063331,176720263,1305964,0,543570,0,184989203,55373,44.33,11.1,143.1
641,9822,208413096,302084331,1669749,0,480199,0,284484987,60293,44.24,10.97,143.2
642,17345,143893034,168370903,1057309,0,387479,0,183246358,72305,44.08,10.8,143.2
643,22868,271337387,348120819,1822625,167936,737517,328,293794186,98556,44.25,10.9,143.2
644,24479,167956265,218768541,1198046,172032,463790,336,232079680,90206,44.23,10.89,143.1
645,5877,139852872,222202875,947798,0,556764,0,180967373,68193,44.38,11.06,143.1
646,18376,158138371,175860055,1123310,0,461669,0,234454588,65608,44.28,11.05,143.1
647,10864,149171587,244951455,1296025,0,465032,0,228935724,69630,44.05,10.67,143.2
648,7448,209229290,250916018,1607564,454656,504147,888,219764238,74082,44.23,10.92,143.2
649,14464,247647741,307455763,1553759,57344,656881,112,342068774,53867,44.39,10.98,143.2
650,10909,121619103,140688110,975969,0,338974,0,173276233,58727,44.31,10.9,143.2
651,10732,180603397,244959429,1474671,0,500152,0,241028394,73504,44.38,10.94,143.1
652,10386,123011725,234553759,1352369,0,493954,0,195968396,57079,44.31,11.0,135.2
653,28774,201998450,260793632,1386106,311296,664553,608,204848981,71841,44.45,11.1,127.7
654,14716,162890463,179223004,955577,0,494336,0,236593361,58480,42.05,8.64,106.3
655,4208,176139750,168696297,1477981,0,285435,0,228271765,79649,38.75,6.76,116.8
656,6614,273718760,312406204,1766970,86016,352808,168,272399007,119496,29.36,5.89,131.2
657,1037,253905545,417393597,3298904,0,67068,0,351803264,154560,31.21,5.86,113.4
658,2344,423485246,502365647,3735108,1114112,226648,2176,552707921,211355,38.28,6.49,99.9
659,1946,191839042,269699449,2026222,86016,238454,168,264718902,53659,35.45,6.42,117.2
660,1552,174980473,243072755,1536836,0,201654,0,221369553,71606,23.77,5.67,127.7
661,6489,275074844,307882524,1756133,172032,237981,336,295384725,69862,27.13,6.05,98.0
662,1451,211999755,262814133,1493956,0,133767,0,280414034,49748,39.79,6.82,106.2
663,4652,262638817,294904274,2235926,598016,346081,1168,260725005,135529,26.04,5.54,130.5
664,1708,196087298,271977542,1560200,24940544,66873,48712,269363776,72114,23.23,5.58,104.0
665,1683,141511040,172190895,1216899,143360,96920,280,222358691,57555,37.68,6.74,103.4
666,2671,322252000,411629031,2530768,143360,285457,280,354252079,82888,31.37,6.05,97.7
667,1022,198647137,270770119,1417873,884736,90529,1728,284142901,34421,23.43,5.78,97.6
668,7981,277732072,324960529,1834195,659456,184869,1288,338745196,103051,23.36,5.66,97.5
669,2328,158548978,203557199,1168709,0,75929,0,238256317,73084,22.9,5.53,97.4
670,1312,126461156,201934729,1150727,0,38223,0,184710614,87691,23.0,5.56,97.6
671,2461,225012480,205517128,960409,0,82690,0,273443948,84536,22.77,5.49,97.6
672,441,153593974,213801821,1275599,684032,68294,1336,181610474,48718,23.42,5.56,97.6
673,2253,259511463,297989768,1567533,0,179430,0,294185089,34876,23.42,5.57,97.7
674,605,174612260,223289262,1245041,0,75423,0,210604820,67797,23.37,5.44,97.5
675,417,202519625,233467086,1429317,372736,41245,728,253518226,57456,24.0,5.47,97.6
676,756,189620680,254691743,1846007,0,43698,0,274882164,62110,22.78,5.38,97.6
677,736,184985189,246277696,1472745,540672,40503,1056,235981238,65379,23.45,5.55,97.4
678,7147,282304962,306630192,1608750,0,228069,0,309396550,52857,23.07,5.53,97.2
679,677,151537306,272134148,1580477,0,57626,0,240781428,55770,22.8,5.39,97.1
680,554,121672030,165698937,1084301,28672,30701,56,149935790,47319,22.73,5.34,97.2
681,440,133867460,166401209,1211846,0,29514,0,158292146,58006,22.55,5.31,97.3
682,751,134733818,156331680,737333,167936,26240,328,188035975,73735,23.2,5.47,97.1
683,6977,248021424,309656895,1825189,0,142553,0,331816930,74540,23.6,5.53,97.0
684,917,159909040,230013702,1780408,0,53476,0,251359742,58983,22.9,5.44,96.9
685,699,137804488,201204463,1020138,0,28166,0,125051793,60756,22.6,5.35,97.0
686,210,126261787,187140714,1006883,0,28469,0,183038255,30875,22.59,5.32,97.0
687,632,119688139,153128751,832922,253952,21200,496,164067540,47125,23.17,5.45,97.0
688,5811,201272993,165023748,1033619,0,58521,0,257922543,87878,23.18,5.51,97.0
689,2030,156070039,219405690,1459945,0,43029,0,185706624,83163,22.76,5.43,96.8
690,983,173505482,217382226,1301986,0,43061,0,215508541,72260,22.85,5.42,97.1
691,828,170279965,213805447,1132905,0,102493,0,250558995,50769,22.88,5.32,97.1
692,306,113716470,132316792,1074536,167936,30830,328,156401613,47775,23.28,5.47,97.0
693,792,226268899,288613958,1623900,0,96505,0,274455852,66035,23.55,5.56,96.9
694,719,162411145,229207420,1553788,0,64332,0,272236606,49107,22.84,5.41,96.9
695,722,143866455,209517202,1442082,23527424,38490,45952,169363727,49812,22.91,5.41,97.0
696,689,162017043,213640124,1033926,0,32943,0,235135507,27970,23.02,5.34,97.0
697,953,113169040,208033209,1496550,200704,45549,392,148319380,84865,22.87,5.48,97.0
698,5866,247749417,300305503,1645678,139264,160453,272,320397350,56946,23.18,5.53,96.9
699,956,174905204,219442629,2129513,0,63911,0,219825980,88664,23.34,5.37,96.9
700,378,145121437,196543736,1172253,86016,44774,168,174428836,42539,22.98,5.32,97.1
701,490,157795776,225005864,1391725,0,54354,0,183153347,62762,23.07,5.32,97.1
702,670,149568151,243201489,1457711,0,24408,0,204591304,70982,23.28,5.42,97.0
