,LLC-load-misses,ref-cycles,bytes,LLC-store-misses,blocks,LLC-loads,instructions,cycles,LLC-stores,pkg_pwr,ram_pwr,power
162,270313,630989752,579153920,11724,1131160,4970762,384451972,559112560,310510,28.6,6.27,109.8
163,218136,529075149,565182464,12399,1103872,3810155,329145157,495725744,224962,28.81,6.32,109.2
164,243421,537668059,545542144,11858,1065512,3976149,367974070,513250191,244431,29.56,6.31,102.5
165,205939,582325430,557842432,14658,1089536,4368147,372786135,553273150,270069,30.61,6.37,109.1
166,245927,552880859,579891200,7824,1132600,4354339,353345737,509252602,269021,30.63,6.31,117.5
167,230605,609764860,566231040,15412,1105920,4623714,381333333,577957288,306603,30.54,6.38,109.5
168,311505,605485121,579862528,2584,1132544,4787833,407141353,582154699,290422,31.13,6.25,109.5
169,299353,544585122,566370304,3630,1106192,4005604,362703765,518809693,228749,28.94,6.29,109.8
170,219213,521068118,565182464,1360,1103872,4235437,334070337,481565589,280828,32.18,6.32,110.3
171,307491,661050023,572522496,3232,1118208,5333000,428949275,621013320,326221,31.21,6.36,110.7
172,237939,701123438,572522496,15007,1118208,5366338,459386088,642696685,332798,30.43,6.36,111.1
173,155414,385703774,580911104,7656,1134592,2935860,235228827,364141316,189307,32.94,6.46,111.5
174,324390,664657190,650256384,2837,1270032,5454959,439876267,620467994,325551,32.78,6.31,111.6
175,343928,514433287,441094144,1608,861512,4037695,351677478,455941725,198404,30.15,6.32,112.1
176,285613,643324543,580657152,4885,1134096,5229051,416993022,596934384,300562,32.88,6.43,112.4
177,341805,683917977,593059840,5729,1158320,5592854,425965631,618254400,331501,31.42,6.29,112.7
178,178663,385878076,557842432,6432,1089536,3059582,255171320,355636257,173250,32.01,6.27,119.4
179,296760,817491466,582098944,4468,1136912,7087438,534401104,762906844,453288,32.38,6.41,119.1
180,327212,455995174,580870144,5367,1134512,3035433,280432799,380899040,172725,27.11,6.32,113.5
181,268586,641608137,557842432,8624,1089536,5173196,391850682,602662067,313507,30.45,6.31,119.0
182,213108,482562065,500269056,2173,977088,4112366,304842187,448055685,264267,33.15,6.29,118.6
183,252579,645723844,579862528,9788,1132544,5167684,418983511,605423875,336027,32.7,6.39,118.3
184,232817,664980605,574758912,9920,1122576,5500750,440974670,611944645,322542,31.6,6.31,118.2
185,278910,543692971,573571072,8549,1120256,4087443,334253107,491403172,257093,30.91,6.24,107.1
186,129592,533245676,447741952,769,874496,4038871,327426549,458644515,224492,27.2,5.63,115.0
187,118553,530036015,86016,11639,168,3462009,377424481,483625142,191927,24.77,5.44,115.4
188,22139,471759159,0,166,0,3287974,306923084,397184886,159773,27.08,5.17,115.7
189,9991,529986180,397312,180,776,4222713,327817362,490945222,236633,29.21,5.26,115.8
190,33678,528216555,30121984,1169,58832,4250825,332638296,476614870,254605,28.29,5.18,115.6
191,14409,603468898,0,389,0,4989181,377593627,575920553,332326,29.44,5.33,104.4
192,144304,611988718,0,8365,0,4533231,418618697,509159621,233896,27.22,5.38,103.7
193,19405,755133442,0,1160,0,6018707,465234072,652451850,323316,26.31,5.26,103.7
194,4871,467343365,569344,601,1112,3563736,304685000,462565192,220710,25.48,5.12,109.0
195,135126,573203550,0,16691,0,4628059,365933555,517506507,288896,33.34,6.51,108.5
196,197194,403193057,469970944,6925,917912,3139035,272892627,386824576,168534,32.22,6.3,108.5
197,227291,706422998,566034432,11400,1105536,5918323,473591186,692651321,356813,31.09,6.29,108.0
198,184936,580920496,543162368,13566,1060864,4664072,377080166,543373967,251127,31.19,6.34,101.4
199,239696,586469940,560078848,13144,1093904,4509443,372166749,550582552,286125,30.62,6.43,101.2
200,293892,641754829,572522496,3929,1118208,4933743,421923481,594826993,310675,31.89,6.27,120.0
201,242636,569938190,565182464,8283,1103872,4413064,376912825,536473458,283951,31.42,6.34,119.6
202,315631,503546946,572522496,1215,1118208,3753210,304982938,437650867,211897,29.86,6.24,119.0
203,222940,376041167,572522496,750,1118208,2877004,216772311,325751945,177858,30.56,6.36,118.5
204,342175,620855607,567418880,2792,1108240,4780670,395170658,564777309,296363,30.28,6.24,118.0
205,217414,680985837,572522496,14062,1118208,5643513,438605816,628976529,340049,32.75,6.33,117.9
206,289501,603116350,550502400,11639,1075200,4927795,396072718,528095833,281199,32.38,6.33,117.6
207,216681,645905542,609222656,13151,1189888,5466484,404930017,606494985,330829,30.67,6.31,111.8
208,142028,384169894,623902720,7596,1218560,3102064,257679786,355896993,195579,33.22,6.38,112.1
209,234512,637766229,430751744,9184,841312,5201804,416970824,539971400,305433,31.9,6.31,112.2
210,312277,708783095,575176704,6887,1123392,6004861,443308980,654626570,359613,32.0,6.27,118.6
211,299775,454509207,602677248,2634,1177104,3295058,280517859,357762123,149027,26.31,6.17,118.5
212,320402,505440286,558800896,4198,1091408,3536446,291039455,437569183,188242,27.02,6.26,118.0
213,234742,591587990,558891008,8443,1091584,4604958,371873772,551233574,272719,29.46,6.28,118.1
214,224184,520948184,573710336,4125,1120528,4027350,334751068,461855909,242035,28.07,6.14,117.9
215,220784,489631905,565182464,22041,1103872,3506691,319195782,429881217,198516,28.44,6.33,117.8
216,181023,638551854,579862528,11995,1132544,5520517,402497229,595633784,316487,32.69,6.29,105.2
217,176972,367041105,594542592,2490,1161216,2942067,241703449,340899461,168029,31.02,6.26,105.4
218,239608,739790309,550932480,12634,1076040,6259679,480580005,691532538,390774,31.44,6.26,111.8
219,196733,484790516,574758912,8159,1122576,3579891,331517151,448348879,187892,29.16,6.26,111.4
220,224602,626354674,572522496,5073,1118208,5378928,403976738,583428666,315948,38.49,6.6,111.2
221,276841,586784430,81338368,11638,158864,4889901,463181428,508138204,248139,37.64,6.51,118.3
222,119413,612094371,86016,1416,168,4952334,384934017,521656823,266303,28.36,5.38,117.9
223,25599,531567609,114688,2008,224,4186958,334217904,487994903,237077,25.63,5.2,117.6
224,12804,517584823,999424,515,1952,3646776,336229198,482199258,237718,24.33,5.08,110.9
225,7857,490505167,0,529,0,3794359,306993216,472955238,237765,26.0,5.14,129.0
226,173479,588753454,0,12679,0,4502377,407894917,481424711,216406,28.57,5.48,128.6
227,54641,555114944,57344,2788,112,4644678,348079797,533697731,265037,26.75,5.32,106.6
228,15241,505771189,0,906,0,3829293,298069602,452799920,241236,24.73,5.19,100.7
229,4544,522011330,397312,460,776,3878408,321073484,489292543,239326,25.38,5.11,100.3
230,8530,482515437,0,249,0,3727750,288882344,427600374,210907,28.05,5.01,100.5
231,123154,833470697,0,12053,0,6691945,583017167,800194715,414697,30.49,5.45,107.3
232,40138,621225680,0,1275,0,4905922,392461975,547414825,294491,30.97,5.4,106.7
233,15334,494944790,28672,652,56,3834510,320739293,465925759,209722,24.93,5.25,98.9
234,11791,466366164,540672,205,1056,3471986,292534584,366321655,171571,25.18,5.15,99.0
235,9023,504724104,0,1168,0,3933319,317533711,471051656,241368,26.15,5.14,105.4
236,6264,526364100,0,343,0,4101832,340659970,507469298,247637,25.13,5.11,110.9
237,29948,460079982,0,5331,0,3694327,285000236,420373577,192348,31.94,6.02,111.0
238,317746,751356620,302923776,4296,591648,6621851,515449388,717381106,392972,34.68,6.47,99.2
239,184724,464731354,722870272,9922,1411856,3884821,308892701,445821862,243208,32.26,6.37,99.2
240,166955,692239388,769392640,18253,1502720,5938001,462531766,667695434,383041,33.22,6.43,99.5
241,165966,489778226,742711296,5700,1450608,4134366,311164408,439324501,259098,31.59,6.47,99.5
242,176002,577496788,778043392,16153,1519616,4358744,367221062,528343485,276498,31.81,6.46,115.9
243,193733,642539210,792723456,12704,1548288,5184784,409020059,578348214,301311,32.34,6.37,122.5
244,256059,612094062,753074176,8358,1470848,4791531,364919239,544606909,273119,32.32,6.46,121.9
245,205072,620905085,778043392,14661,1519616,5035047,424910413,585727210,318200,32.84,6.49,121.6
246,170302,409816380,763363328,10756,1490944,3171900,271158543,384816705,197173,31.74,6.43,116.4
247,238602,655128165,769392640,6688,1502720,5099415,441851101,602247389,327998,33.51,6.55,116.5
248,305622,529450967,644419584,3674,1258632,4131616,315996719,448336353,242216,32.36,6.36,116.7
249,347533,628375119,756842496,2614,1478208,5338327,391552613,546796135,297513,31.28,6.43,116.9
250,313461,542640823,779399168,1690,1522264,4294071,337997229,463565637,242992,31.22,6.29,117.1
251,221843,417651491,723406848,4914,1412904,3614202,261956551,389754445,221314,32.21,6.41,117.1
252,305544,620376034,747896832,4206,1460736,5050625,409437382,584214911,298437,31.28,6.31,117.5
253,180561,591775670,734863360,11915,1435280,4906115,393253592,550270957,289019,31.56,6.28,117.6
254,251299,620762120,704602112,9016,1376176,4838815,417643522,558892871,298011,30.75,6.38,117.4
255,229240,491524956,768081920,10063,1500160,3617289,311575392,456232366,210502,29.35,6.35,117.2
256,226416,472019014,757334016,13599,1479168,3682121,293594161,428092929,190769,28.38,6.36,117.2
257,198362,618164337,748683264,17191,1462272,4489146,400884007,600148633,316487,35.04,6.59,117.1
258,224264,649642719,734793728,13392,1435144,5294915,423273321,598204851,322936,32.0,6.37,117.0
259,228274,351716548,732573696,4399,1430808,2784594,237646621,338258219,168262,32.58,6.42,116.8
260,289021,668873047,769261568,10150,1502464,5659246,453071742,596588624,330702,32.24,6.37,116.2
261,244761,478438418,742653952,12476,1450496,3509945,313634512,436222570,218596,28.65,6.39,109.8
262,237377,547133833,763363328,11108,1490944,4690194,380410690,538163032,262957,31.88,5.95,123.1
263,169393,665563596,388497408,8807,758784,4707017,468761346,623323555,303787,26.93,5.54,117.2
264,38630,547664007,397312,2077,776,4238714,343986698,451510791,233585,27.85,5.21,117.3
265,12345,743428331,0,494,0,6314975,470485337,695121521,398374,28.84,5.05,117.5
266,48051,553796366,0,2403,0,4483541,343854124,521763651,273971,30.99,5.24,110.4
267,31777,489400241,28672,1931,56,4016180,303602467,444448772,235455,28.05,5.18,116.1
268,31944,447987077,0,511,0,3770760,288411953,419333849,226420,30.08,5.48,103.6
269,137725,707665208,483328,5703,944,5972604,470959004,652375143,363604,28.96,5.3,103.8
270,14235,573102027,0,681,0,4778233,369610072,555788062,314718,25.99,5.16,104.2
271,63566,593431193,0,2973,0,4434500,408601453,545470941,255790,26.24,5.55,111.3
272,101898,475847519,28672,8149,56,4117245,318034685,450888365,261966,34.75,6.45,105.4
273,217023,517683593,668143616,11005,1304968,4045076,360454754,501487906,255495,33.88,6.44,105.8
274,337201,744294792,760680448,8621,1485704,6481647,505597647,708248894,395942,34.13,6.59,106.2
275,140728,403933675,778043392,8726,1519616,3284586,268841900,350789415,196554,31.94,6.36,105.6
276,252809,619610742,770179072,9764,1504256,5266279,411827326,607682890,323051,32.85,6.4,105.1
277,309119,648910615,785907712,7033,1534976,5750181,430163189,606128552,322291,34.16,6.48,123.5
278,141321,410703920,763363328,7701,1490944,3512737,264733325,374140793,191415,32.64,6.38,123.2
279,253213,615317035,738365440,8710,1442120,5207800,418845785,575442042,317168,30.65,6.34,123.0
280,264616,592161705,769392640,10118,1502720,4709070,373570186,533131396,283521,32.73,6.35,117.5
281,256858,652476572,786694144,5423,1536512,5439353,450844143,627269571,336818,32.78,6.56,117.7
282,415276,584354225,754286592,14454,1473216,5300463,389396893,550072764,334846,35.04,6.6,118.2
283,283324,604690380,630259712,9925,1230976,5034460,420177495,569677642,322975,32.74,6.39,118.2
284,238510,603064303,684015616,16648,1335968,4998811,432814954,562666427,270676,32.73,6.45,117.8
285,247098,483631649,778043392,66492,1519616,3393301,373801614,441420784,229953,37.19,6.97,118.1
286,541496,2022838324,748683264,126717,1462272,8966135,2312075492,1988113308,623714,39.49,6.96,118.0
287,373816,1083314894,754081792,102826,1472816,7846299,936524297,952391151,425283,38.98,7.11,124.6
288,860058,1414645031,763363328,127316,1490944,9019900,1452672392,1375588878,638378,40.2,7.22,119.0
