,LLC-stores,instructions,bytes,blocks,LLC-loads,LLC-load-misses,ref-cycles,cycles,LLC-store-misses,pkg_pwr,ram_pwr,power
166,79535,174063546,7868416,15368,1109177,3471,249486799,203027611,754,22.54,5.28,96.4
167,55922,222746904,7749632,15136,1320977,5430,326020777,218122140,447,22.43,5.2,96.4
168,45979,140704275,7454720,14560,988870,2953,232786336,152370901,310,22.55,5.24,96.4
169,60829,153994981,8327168,16264,1059482,1911,240610994,193356017,411,22.35,5.18,96.3
170,86054,303626399,7774208,15184,1750467,86104,386654708,299307965,6593,22.78,5.37,96.3
171,35788,147083203,7921664,15472,1095804,9009,232940211,125711251,717,22.48,5.3,96.3
172,45438,130220261,7856128,15344,857454,2797,201210333,109499090,344,22.34,5.19,96.4
173,45605,136029240,8237056,16088,1132786,2227,238686798,166309397,1319,22.45,5.18,96.3
174,23545,159294163,8052736,15728,1021654,858,201510458,187096523,849,22.3,5.12,96.2
175,98406,302954952,7389184,14432,1807706,104236,391838784,315400501,8717,23.0,5.42,96.2
176,59926,162592359,8187904,15992,1031093,4391,241827144,161403319,383,22.51,5.31,96.3
177,49734,179625491,7536640,14720,1191473,14670,270115280,187388863,423,22.41,5.24,96.3
178,60633,193898076,7700480,15040,1045991,3221,279560255,226449082,284,22.36,5.24,96.3
179,43454,131349418,7651328,14944,892466,1197,200298973,150002047,263,22.25,5.18,96.2
180,91452,285108512,7294976,14248,1744537,83455,384844436,282372694,6949,22.72,5.38,96.1
181,31748,147369256,7749632,15136,991040,4242,226451034,167775746,366,22.33,5.25,96.2
182,31129,142293086,7348224,14352,899703,1565,206005032,173043746,451,22.31,5.13,96.2
183,61153,197823847,7430144,14512,1297941,9765,306118637,237347151,1929,22.48,5.24,96.2
184,41846,170346838,7589888,14824,1155810,2279,238086906,148929154,848,22.5,5.25,96.1
185,51149,248269533,8126464,15872,1663600,96451,332728495,240013532,7417,22.69,5.4,96.2
186,59269,189945712,7983104,15592,1200881,5699,273149227,209496699,772,27.97,6.14,96.3
187,246735,478081946,2990080,5840,3984347,581369,564610891,520200308,30778,40.18,7.38,96.3
188,93629,372638862,0,0,3260124,421980,434388468,308020759,9079,40.88,7.94,125.7
189,134685,260662624,0,0,2617405,240817,317917298,304144951,15451,40.3,7.52,134.3
190,242018,439233084,0,0,3607211,475124,501459283,474904264,34968,40.09,7.23,134.2
191,97166,302784887,0,0,2605496,183045,327298146,320037903,16266,40.06,7.16,134.2
192,231603,679371241,491847680,960640,4594773,295936,749009500,677534889,26835,39.87,6.84,134.1
193,208228,774622308,12259328,23944,4844772,182041,804809605,676692988,10330,39.84,6.79,134.1
194,162092,492548868,0,0,3421543,252586,531815937,486205761,13364,40.28,7.32,133.6
195,185715,686705758,1196032,2336,3996966,412959,731694649,598974759,20887,40.34,7.28,133.6
196,190535,593387583,0,0,4086285,270302,684352195,624339593,16462,40.2,7.2,133.5
197,151395,404088632,97832960,191080,3019600,189605,501963332,435940045,15064,40.36,7.16,133.4
198,159018,630605590,469762048,917504,4181358,358967,674399260,568498730,12783,40.21,7.02,133.4
199,148838,478281207,143360,280,3098511,287206,514504142,439598501,12784,40.31,7.19,133.5
200,195901,637357236,397312,776,4481664,391437,723904473,612079722,28155,40.27,7.37,133.4
201,175147,603289257,0,0,4170704,259831,686644714,618796331,20326,40.23,7.37,133.3
202,167051,480201018,0,0,2998847,174232,531177244,503815509,17117,40.32,7.19,133.4
203,201638,612762146,469762048,917504,4073087,285182,681653505,596039221,24880,40.26,7.09,133.3
204,218452,615221460,0,0,3876109,263556,656504778,628669695,13818,40.41,7.2,133.4
205,162831,516140237,368640,720,3584325,324301,600388895,474885323,28015,40.47,7.2,133.3
206,178463,637468451,469762048,917504,4309513,277136,691383162,609047703,20833,40.8,7.61,133.3
207,136526,377133356,114688,224,2873172,266710,504701082,403636715,18043,41.08,7.79,133.4
208,223309,611704136,0,0,4024788,363070,693232669,634119650,24339,40.99,7.77,133.6
209,157520,592592037,0,0,4006313,354563,679970016,550705588,21099,41.06,7.83,133.8
210,112555,485274282,368640,720,3173284,445055,536501717,481328596,20879,41.05,7.77,133.9
211,175814,538342671,0,0,4017906,443534,619627665,562265218,14839,41.05,7.77,134.0
212,208513,624741116,0,0,4147322,379151,672281036,610405977,19376,41.03,7.76,134.1
213,196932,612805953,0,0,4063184,264170,676906189,642877915,16651,40.37,7.01,134.2
214,125483,436972218,0,0,2431505,93400,467325262,368002390,4537,40.21,6.79,134.2
215,228989,615078762,311296,608,4172688,288374,709340226,600053976,15148,40.19,6.85,134.0
216,192366,576068956,0,0,4005769,299604,635340539,547178999,11192,40.19,6.99,133.7
217,181555,667677639,172032,336,4272999,195678,715118550,680305076,12511,40.22,6.9,133.5
218,173517,408409570,74092544,144712,2837315,74879,489687651,428581734,6470,40.16,6.87,133.3
219,181251,579054436,0,0,3914458,232462,651735529,600008802,13004,40.13,7.08,133.1
220,217375,664614855,483328,944,4299589,366667,769387540,657273485,16139,40.2,7.29,133.0
221,171006,418852790,0,0,2750399,213560,471297024,448161046,14672,40.38,7.67,132.9
222,189789,565884349,0,0,3961095,330191,673331876,590155131,16045,40.38,7.63,133.0
223,185201,586237532,0,0,4027455,318022,694035615,573061791,16883,40.42,7.64,133.1
224,166821,474962203,0,0,3018804,193590,516757583,496569916,16124,40.42,7.67,133.2
225,187259,695328032,225280,440,4713233,505078,768220411,631505014,19292,40.4,7.62,133.4
226,161050,467708653,0,0,3103563,336618,517163692,503518919,8477,40.45,7.61,133.5
227,238181,623515120,114688,224,3872142,337764,698027615,672638833,19110,40.49,7.69,133.6
228,206469,679715283,232161280,453440,4449790,295212,744820736,675090019,24327,40.42,7.65,133.6
229,209624,517582364,53444608,104384,3385340,264329,577836066,559024083,13908,40.47,7.66,133.8
230,201778,545692370,63422464,123872,3823290,437880,645995681,543395833,26899,40.46,7.64,133.9
231,218320,587919843,52535296,102608,4460579,356887,714431237,596939455,19695,40.47,7.65,134.0
232,179958,553005094,55590912,108576,4355552,392046,672513274,613699022,17527,40.36,7.64,134.1
233,235604,620712173,53792768,105064,4081412,249525,700428522,642163403,20469,40.43,7.63,134.2
234,168484,473561224,56164352,109696,3347101,223520,535987301,438606691,11749,40.44,7.66,134.2
235,273556,737502457,59318272,115856,5268241,514818,845048361,757889202,39818,40.38,7.59,134.3
236,153465,526228866,55365632,108136,3707828,421539,593582331,469131863,16460,40.31,7.62,134.4
237,278230,710860799,57491456,112288,5099784,370064,779263382,745287726,25673,40.29,7.58,134.4
238,179677,469096085,33566720,65560,3703316,214965,568702678,462827818,23732,40.3,7.63,134.4
239,279099,664792953,62517248,122104,4610390,282119,747538890,688250493,22515,40.37,7.63,134.5
240,164362,568517284,69484544,135712,3944015,439574,635174455,579219085,22160,40.39,7.6,134.5
241,212127,663269053,52625408,102784,4803067,379618,745693556,641087361,20679,40.33,7.63,134.6
242,185059,514498563,52285440,102120,3694766,268494,580128809,507641940,15268,40.35,7.65,134.6
243,216851,628778740,50999296,99608,4540398,300880,720071732,632116309,22078,40.28,7.62,134.6
244,177188,471417086,66650112,130176,3399205,259098,531917780,493880284,19691,40.32,7.64,134.6
245,268912,711648144,57544704,112392,4813978,529136,831396061,658040720,33992,40.44,7.62,134.6
246,173630,501656001,56754176,110848,3502344,280983,563763786,489356952,14227,40.4,7.65,134.6
247,244014,699856729,53755904,104992,5025674,351948,771709795,685009907,24044,40.28,7.61,134.7
248,171401,526896947,65249280,127440,3643732,342504,571763817,550688166,16614,40.36,7.63,134.6
249,283750,674640861,131399680,256640,4728754,359806,739475223,661226278,36681,40.35,7.65,134.6
250,208264,578791332,61005824,119152,3902721,331655,627208307,584264940,31186,40.31,7.6,134.7
251,225839,628277128,59936768,117064,4873764,386691,732473775,636499872,16911,40.36,7.68,134.7
252,154396,500020312,54542336,106528,3475134,321854,565773725,503679013,15115,40.36,7.65,134.7
253,234149,676221328,43220992,84416,4727998,376699,754350280,653494032,17748,40.34,7.61,134.6
254,185304,451184444,69988352,136696,3203453,161746,528853770,490326797,20386,40.32,7.65,134.6
255,260691,800418459,62472192,122016,5333367,531313,846740404,790387803,41502,40.28,7.58,134.7
256,225096,491036913,55414784,108232,3484343,269646,565200786,538123870,20769,40.21,7.64,134.6
257,262734,690761939,58847232,114936,4623035,404654,780508396,700382610,26170,40.27,7.64,134.6
258,158198,503091048,61878272,120856,3418094,279023,557207828,534923457,9066,40.32,7.63,134.6
259,227208,637851522,58273792,113816,4640015,402614,752296439,659622323,15941,40.35,7.65,134.6
260,201759,584382817,56709120,110760,3539918,424764,636008642,590226696,15725,40.39,7.61,134.6
261,262918,665944580,57110528,111544,5001160,372323,764585639,686920582,23173,40.33,7.66,134.7
262,207165,509488255,63844352,124696,3537554,221587,577999762,498725930,20390,40.32,7.66,134.6
263,240829,615486503,57995264,113272,4655614,308944,704375034,639130470,18146,40.36,7.62,134.6
264,157034,514939583,53874688,105224,3422268,261939,564436181,497694656,16306,40.29,7.67,134.6
265,296304,731946406,71143424,138952,5022876,525822,818125990,723766819,26837,40.28,7.6,134.6
266,270449,696129876,57606144,112512,4766581,372324,749381024,661915457,31541,40.35,7.61,134.6
267,192178,481549448,40030208,78184,3442822,290208,564359789,467450126,16820,40.35,7.63,134.6
268,174477,623009128,76718080,149840,4744474,337159,712738939,575578258,21993,40.35,7.64,134.6
269,163071,437025772,59547648,116304,3234087,205718,522097425,434972048,22585,40.32,7.62,134.7
270,254101,746207908,59809792,116816,5266234,582776,846029301,699234338,22300,40.33,7.63,134.6
271,192272,445405230,61157376,119448,3475551,250805,512960424,489569337,19176,40.36,7.61,134.7
272,295848,694628666,44011520,85960,4709467,333041,782216383,705848526,29217,40.36,7.59,134.7
273,186062,478381575,72515584,141632,3622334,240448,552308201,476357845,16458,40.33,7.67,134.7
274,211299,547693044,45318144,88512,4175016,299300,648781722,530763418,19230,40.33,7.63,134.8
275,250114,739663093,74489856,145488,5109120,574456,820447981,749199086,19744,40.31,7.65,134.8
276,171996,486662818,60456960,118080,3507323,275317,556387876,504399949,19179,40.33,7.23,134.8
277,196132,918480959,138506240,270520,4618162,172558,951735299,886349343,4419,40.28,6.44,134.9
278,170043,806071557,381112320,744360,4376397,239327,847231472,768268701,15727,39.99,6.19,134.6
279,102786,347314366,101814272,198856,1750765,148546,355298221,332491170,30043,40.02,6.27,134.3
280,64060,380593224,8310784,16232,2596106,225826,434717245,368241714,8885,40.09,6.33,134.0
281,94073,347764493,8261632,16136,2453895,120570,453486478,300351787,1857,40.05,6.23,133.8
282,67968,263799447,8491008,16584,1809928,32104,324153478,263945823,1582,40.02,6.05,133.5
283,56476,354196424,8232960,16080,1733632,43445,378849686,346278589,1632,40.01,6.11,133.3
284,87941,321185953,8687616,16968,1951625,172824,369695221,267932653,9004,40.07,6.34,133.1
285,152568,375778991,8323072,16256,1669865,176851,409934239,384793719,8656,40.05,6.34,132.9
286,102757,317003456,8024064,15672,1569855,57731,359432760,303025556,3378,40.02,6.21,132.8
287,63596,307146775,8830976,17248,1764599,63199,348948186,322528224,928,40.03,6.13,132.7
288,72298,343154914,7700480,15040,1856235,32073,387784857,324701449,908,40.01,6.08,132.6
289,70317,247508317,8474624,16552,1315290,26403,281762615,217910724,897,40.05,6.21,132.4
290,104251,345706997,8642560,16880,2151115,167316,396093749,348239336,15162,40.06,6.26,132.3
291,68827,274848052,8380416,16368,1607517,38938,295679090,258198098,1947,39.99,6.24,132.2
292,87731,282483836,8028160,15680,1707454,38668,340353170,259385870,1783,40.12,6.13,132.1
293,78817,324495610,8302592,16216,1908336,52640,377052452,330555407,2226,40.07,6.14,132.0
294,50056,238221314,8654848,16904,1437445,18556,266246843,218480440,1776,40.06,6.11,132.0
295,95094,321359895,7696384,15032,2025513,149156,359287885,311097782,2606,40.06,6.28,132.0
296,94934,287335461,8327168,16264,2228780,47735,365484592,268436018,2318,40.1,6.15,131.9
297,58854,221950500,7962624,15552,1493786,36214,291911500,227248578,2547,40.03,6.14,131.9
298,68462,221882059,7991296,15608,1404092,24749,273940203,210886303,1011,40.1,6.12,131.8
299,77417,326971339,8327168,16264,1743653,34479,358714023,343727348,1305,40.06,6.06,131.8
300,90038,334171908,8720384,17032,2017375,159631,339721598,305798087,11136,40.07,6.29,131.8
301,53714,257087199,8384512,16376,1756009,41713,327103939,234766405,2616,40.06,6.05,131.8
302,65698,243141464,7929856,15488,1540499,23953,285333948,230883739,1906,40.03,6.14,131.9
303,97639,385061013,7495680,14640,1948059,33428,417297088,362816226,7862,39.98,6.12,131.8
304,67525,265181958,8499200,16600,1323670,20788,301929384,284140647,1796,39.98,6.07,131.8
305,93437,371194280,8323072,16256,1899576,148458,368433016,326821696,13974,40.01,6.22,131.8
306,80051,285289430,8351744,16312,1814156,44662,347201915,325958852,1592,40.0,6.13,131.9
307,55923,247154443,8413184,16432,1537510,27329,301986038,265803309,1554,39.99,6.04,131.9
308,59466,265380840,8155136,15928,1370131,21970,276871419,248126186,1936,39.99,6.06,131.9
